NGC,Name,Type,Constellation,Magnitude,RA,Dec,Size
6396,,OC,Sco,8.5,17.635,-35.0,3.0
6418,,Gx,Dra,14.0,17.635,58.71666666666667,
6406,,-,Her,,17.638333333333332,18.833333333333332,
6401,,Gb,Oph,9.5,17.643333333333334,-23.916666666666668,5.6
6461,,Gx,Dra,15.0,17.645,73.5,
I1267,,Gx,Dra,,17.645,59.38333333333333,1.7
6408,,Gx,Her,14.0,17.64666666666667,18.866666666666667,
6404,,OC,Sco,11.0,17.66,-33.25,5.0
6405,Butterfly cluster,OC,Sco,4.2,17.668333333333333,-32.21666666666667,15.0
6405,M   6,OC,Sco,4.2,17.668333333333333,-32.21666666666667,15.0
6435,,Gx,Dra,15.0,17.668333333333333,62.61666666666667,
6397,,Gb,Ara,5.7,17.678333333333335,-53.666666666666664,25.7
6413,,-,Oph,,17.678333333333335,12.616666666666667,
6400,,OC,Sco,9.0,17.68,-36.95,8.0
6436,,Gx,Dra,15.0,17.686666666666667,60.45,
6417,,Gx,Her,14.0,17.695,23.666666666666668,
6456,,Gx,Dra,15.0,17.706666666666667,67.56666666666666,
6398,,Gx,Pav,,17.711666666666666,-61.68333333333333,
6457,,Gx,Dra,14.0,17.713333333333335,66.46666666666667,
6403,,Gx,Pav,,17.72,-61.68333333333333,
6392,,Gx,Aps,,17.725,-69.78333333333333,1.5
6463,,Gx,Dra,15.0,17.725,67.58333333333333,
6427,,Gx,Her,14.0,17.726666666666667,25.483333333333334,
6449,,Gx,Dra,14.0,17.72833333333333,56.78333333333333,
6428,,-,Her,,17.731666666666666,25.533333333333335,
6477,,Gx,Dra,,17.731666666666666,67.61666666666666,
6429,,Gx,Her,14.0,17.733333333333334,25.35,
6433,,Gx,Her,14.0,17.733333333333334,36.766666666666666,
6470,,Gx,Dra,15.0,17.735,67.56666666666666,
6471,,Gx,Dra,15.0,17.735,67.56666666666666,
6472,,Gx,Dra,15.0,17.736666666666668,67.6,
6431,,-,Her,,17.738333333333333,25.5,
6448,,-,Dra,,17.738333333333333,53.53333333333333,
6415,,-,Sco,,17.74,-35.016666666666666,
6416,,OC,Sco,5.7,17.74,-32.35,18.0
6430,,Ast,Her,,17.743333333333332,18.15,
6443,,Gx,Her,15.0,17.743333333333332,48.083333333333336,
6462,,Gx,Dra,14.0,17.745,61.88333333333333,
6426,,Gb,Oph,11.2,17.748333333333335,3.0,3.2
6454,,Gx,Dra,15.0,17.748333333333335,55.7,1.4
6407,,Gx,Pav,,17.75,-60.733333333333334,1.9
I4663,,Pl,Sco,13.0,17.758333333333333,-44.9,0.2
I1266,,,Ara,,17.76,-46.1,
6421,,-,Sco,,17.763333333333332,-33.7,
6464,,Gx,Dra,15.0,17.763333333333332,60.88333333333333,
I4666,,Gx,Dra,16.0,17.763333333333332,55.766666666666666,0.6
6459,,Gx,Dra,16.0,17.765,55.75,
6446,,Gx,Her,15.0,17.768333333333334,35.55,
6447,,Gx,Her,14.0,17.77166666666667,35.55,
I4665,,OC,Oph,4.2,17.77166666666667,5.716666666666667,41.0
I4667,,,Dra,,17.77166666666667,55.88333333333333,
6425,,OC,Sco,7.2,17.781666666666666,-31.533333333333335,8.0
6442,,Gx,Her,14.0,17.781666666666666,20.75,
6474,,-,Dra,,17.781666666666666,57.333333333333336,
I4668,,,Dra,,17.781666666666666,57.4,
6473,,Gx,Dra,15.0,17.783333333333335,57.333333333333336,
I4662,,Gx,Pav,11.4,17.785,-64.63333333333334,2.2
I4669,,Gx,Dra,,17.786666666666665,61.43333333333333,
6432,,,Sgr,,17.79,-24.883333333333333,
6450,,-,Her,,17.791666666666668,18.583333333333332,
I1270,,*,Dra,,17.796666666666667,62.21666666666667,
6452,,Gx,Her,15.0,17.8,20.85,
6466,,Gx,Dra,15.0,17.803333333333335,51.43333333333333,
6439,,Pl,Sgr,14.0,17.805,-16.483333333333334,0.1
6479,,Gx,Dra,14.0,17.805,54.166666666666664,
